thermal-gate: hwmon=/sys/class/drm/card0/device/hwmon/hwmon6 max_temp=56.0C
thermal-gate: 0s/300s idle, waiting (cur=56C)
thermal-gate: 15s/300s idle, waiting (cur=56C)
thermal-gate: 30s/300s idle, waiting (cur=56C)
thermal-gate: 45s/300s idle, waiting (cur=56C)
thermal-gate: 60s/300s idle, waiting (cur=56C)
thermal-gate: 75s/300s idle, waiting (cur=56C)
thermal-gate: 90s/300s idle, waiting (cur=56C)
thermal-gate: 105s/300s idle, waiting (cur=56C)
thermal-gate: 120s/300s idle, waiting (cur=56C)
thermal-gate: 135s/300s idle, waiting (cur=56C)
thermal-gate: 150s/300s idle, waiting (cur=56C)
thermal-gate: 165s/300s idle, waiting (cur=56C)
thermal-gate: 180s/300s idle, waiting (cur=55C)
thermal-gate: 195s/300s idle, waiting (cur=55C)
thermal-gate: 210s/300s idle, waiting (cur=55C)
thermal-gate: 225s/300s idle, waiting (cur=55C)
