thermal-gate: hwmon=/sys/class/drm/card0/device/hwmon/hwmon6 max_temp=59.0C
thermal-gate: 0s/300s idle, waiting (cur=59C)
thermal-gate: 15s/300s idle, waiting (cur=59C)
thermal-gate: 30s/300s idle, waiting (cur=59C)
thermal-gate: 45s/300s idle, waiting (cur=59C)
thermal-gate: 60s/300s idle, waiting (cur=59C)
thermal-gate: 75s/300s idle, waiting (cur=59C)
thermal-gate: 90s/300s idle, waiting (cur=59C)
thermal-gate: 105s/300s idle, waiting (cur=59C)
thermal-gate: 120s/300s idle, waiting (cur=59C)
thermal-gate: 135s/300s idle, waiting (cur=59C)
thermal-gate: 150s/300s idle, waiting (cur=59C)
thermal-gate: 165s/300s idle, waiting (cur=59C)
thermal-gate: 180s/300s idle, waiting (cur=59C)
thermal-gate: 195s/300s idle, waiting (cur=59C)
thermal-gate: 210s/300s idle, waiting (cur=58C)
thermal-gate: 225s/300s idle, waiting (cur=58C)
thermal-gate: 240s/300s idle, waiting (cur=58C)
thermal-gate: 255s/300s idle, waiting (cur=58C)
thermal-gate: 270s/300s idle, waiting (cur=58C)
thermal-gate: 285s/300s idle, waiting (cur=58C)
thermal-gate: OK after 300s idle (cur=58C)
