tag ppl
tip_default 20142183.3125
all_off 1.0028
kill_MOE_DUAL_MULTITOKEN 150656.2886
kill_MOE_DUAL_DOWN 831736.0330
kill_MOE_DUAL_SWIGLU 873218.8561
kill_MOE_DOWN_INTEGRATED 1326083.4156
kill_MOE_DOWN_WEIGHTED 151961.0459
kill_MOE_PACKED_REDUCE 3217623.1436
kill_ROUTER_TRUE_TOPK_NORM 87898.0893
kill_ROUTER_TRUE_TOPK 17131.7396
kill_ROUTER_GEMV_FUSE 128904.6763
kill_ROUTER_SIGMOID_ADD 106586.2156
kill_TOPK_MOE 1590830.4276
kill_DENSE_DUAL_SWIGLU 1778727.6928
kill_DENSE_DUAL_GEMM 193267.9948
kill_RMS_NORM_FUSE 921669.6197
kill_ROPE_SET_ROWS_FUSE 9200181.8128
kill_SOFTPLUS_MUL_FUSE 1724450.5951
kill_MUL_MAT_ADD_FUSE 
kill_ADD_ADD_FUSE 7890113.3203
