tag ppl
all_off 1.0030
only_TOPK_MOE 1.0004
only_ROUTER_TRUE_TOPK 1.0005
only_ROUTER_TRUE_TOPK_NORM 1.0008
only_ROUTER_GEMV_FUSE 1.0005
only_ROUTER_SIGMOID_ADD 1.0013
only_MOE_DUAL_SWIGLU 1.0004
only_MOE_DUAL_MULTITOKEN 1.0004
only_MOE_DUAL_DOWN FAIL
only_MOE_DOWN_WEIGHTED 1.0004
only_MOE_DOWN_INTEGRATED 1.0004
only_DENSE_DUAL_SWIGLU 1.0005
only_DENSE_DUAL_GEMM 1.0004
only_RMS_NORM_FUSE 1.0004
only_ROPE_SET_ROWS_FUSE 1.0004
only_SOFTPLUS_MUL_FUSE 1.0004
only_MUL_MAT_ADD_FUSE 877999.5872
only_ADD_ADD_FUSE 1.0004
only_MOE_PACKED_REDUCE 1.0031
group_residual 253524.7847
group_router 1.0004
group_moe_dual FAIL
group_dense 1.0004
